S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
1,Basilic Fly Stud,347.55,29.12,807.71,,,,,59.9,0.01,0.42,,39.14,-14.32,0,171.51,BASILIC
2,Ksolves India,1155.95,43.06,1370.49,38.81,44.21,8.69,7.02,58.94,0,1.75,47.43,44.2,-16.09,0,171.27,KSOLVES
3,Life Insurance,906.35,14.21,573266.17,8.32,49.1,5.5,19.17,96.5,1,0.06,2.22,40.43,-14.22,0,148.72,LICI
4,Nestle India,2573.4,82.63,248116.2,8.07,17.02,-8.66,-27.8,62.76,9.16,12.09,13.42,52.31,12.41,0,135.09,NESTLEIND
5,Remedium Life,107.5,20.51,1083.6,939.31,2914.47,291.44,601.68,1.11,0,0.04,700.72,48,-1.73,0,102.61,539561
6,P & G Hygiene,16634.35,71.44,53996.32,-0.35,10.33,-0.43,8.64,70.64,15.29,1.48,2.49,59.6,-157.19,0,100.63,PGHH
7,Tips Industries,477.55,51.22,6133.01,27.17,71.62,6.51,-12.61,68.92,0.91,0.85,37.8,52.51,7.62,-6.08,88.63,TIPSINDLTD
8,Waaree Renewab.,1469.65,144.24,15306.3,338.81,158.05,116.04,252.43,74.46,0.09,0,175.86,64.59,159.32,-0.02,83.8,534618
9,Lloyds Metals,579.15,23.69,29261.76,91.13,44.14,75.07,43.38,65.69,0,0.32,110.62,50.76,0.39,-0.06,81.99,LLOYDSME
10,Vasa Denticity,509.35,107.34,815.79,,,,,69.62,1.69,0,,50.76,-22.21,0,80.11,DENTALKART
11,Colgate-Palmoliv,2708.05,57.74,73655.07,8.08,35.71,-5.13,-2.92,51,5.6,24.62,7.09,61.53,34.28,0,79.13,COLPAL
12,Dreamfolks Servi,478.45,32.53,2499.9,49.54,6.95,8,11.91,66.02,9.23,5.22,77.23,40.13,-9.43,0,76.91,DREAMFOLKS
13,Sahana Systems,894.85,86.63,715.57,,,30.56,-10.11,62.88,0.6,0,,58.61,-44.42,0,76.49,SAHANA
